day,hour,branch,n,load_mae_base,load_mae_adaptive,pv_mae_base,pv_mae_adaptive,energy_buffer_kwh,actual_peak_error_kwh,energy_covered,interval_covered,calibration_paths
101,18,published-adjustable,36,164.09484575066134,13.373045378289959,2.6876777777777776,2.0002230385473303,463.36804056002427,7.513740414419317,1,35,27
102,0,historical-frozen,144,88.09788398644183,19.364558921091948,23.117625963128322,17.662279067460318,3435.0672410759007,855.0057615692174,1,130,27
102,0,published-frozen,144,88.09788398644183,19.364558921091948,57.822632754629645,45.908845092565535,6697.007160863674,4315.964148754331,1,134,27
102,0,published-adjustable,36,39.9088262400794,18.511250767578524,9.680521296296295,6.616810956020245,586.2059215416047,127.23701459321865,1,33,27
102,6,published-adjustable,36,117.55362141203705,20.08151389176247,134.98853518518513,102.99643942506323,3935.621076796005,3965.9942442123347,0,33,27
102,12,published-adjustable,36,132.4979550264551,18.444627095789212,123.29126666666669,74.22654417571012,373.50048151769636,225.67475809771395,1,35,27
102,18,published-adjustable,36,62.4311332671958,21.70662173656372,3.0730754629629633,2.2667390917348107,463.36804056002427,0.0,1,36,27
103,0,historical-frozen,144,92.14060883349872,19.15592264879357,35.27532169725531,21.715494808201058,3435.0672410759007,316.1108671668329,1,132,27
103,0,published-frozen,144,92.14060883349872,19.15592264879357,83.89598831018517,62.840125000915044,6697.007160863674,3399.1512565737066,1,133,27
103,0,published-adjustable,36,50.03945319113762,18.03132705273604,10.62303611111111,7.247570694639113,586.2059215416047,528.7437752358371,1,30,27
103,6,published-adjustable,36,120.2591092923281,18.97206520435019,138.74696203703698,96.49396289965921,3935.621076796005,3622.95600406398,1,30,27
103,12,published-adjustable,36,134.3793008267196,19.324641162647858,125.80689537037046,90.89348004230972,680.6836960547847,577.5533279220813,1,36,27
103,18,published-adjustable,36,63.88457202380956,20.187729635397215,3.927272685185185,3.048928065311547,463.36804056002427,0.0,1,33,27
104,0,historical-frozen,144,86.46608799603179,17.972223115957547,47.720380993716944,38.56040656415343,3435.0672410759007,0.0,1,141,27
104,0,published-frozen,144,86.46608799603179,17.972223115957547,60.19944976851851,42.31237796747999,6697.007160863674,2855.6249464412685,1,136,27
104,0,published-adjustable,36,35.0167117559524,15.235959866249008,12.784436111111113,8.71017250190399,586.2059215416047,135.55860578536158,1,35,27
104,6,published-adjustable,36,112.72899315476197,19.3752947255855,134.13837500000005,91.50038970066456,3965.994244212334,2410.0141722896856,1,34,27
104,12,published-adjustable,36,133.5275220734127,17.2914693098019,126.9069541666667,70.0377174172744,680.6836960547847,0.0,1,36,27
104,18,published-adjustable,36,64.59112500000003,20.206047621701636,4.2972365740740734,3.304178471504203,463.36804056002427,0.0,1,34,27
105,0,historical-frozen,144,92.22098150214951,18.147452552871698,25.7393671916336,21.24277660383597,3435.0672410759007,2734.360933044134,1,133,27
105,0,published-frozen,144,92.22098150214951,18.147452552871698,60.020152662037034,45.37718950032139,6697.007160863674,4425.9339254573,1,132,27
105,0,published-adjustable,36,48.54341248346563,19.48604849658001,12.890825462962962,8.785563085166512,586.2059215416047,740.2327096301234,0,27,27
105,6,published-adjustable,36,115.09872314814821,17.531403071690892,142.7287055555555,105.06871996480398,3965.994244212334,3625.1825073475666,1,29,27
105,12,published-adjustable,36,136.50097022156086,17.508852398416316,152.03478750000008,95.4425508360035,680.6836960547847,802.2326795366532,0,36,27
105,18,published-adjustable,36,68.74082015542334,19.808521097064617,4.197128240740741,3.051603455300927,463.36804056002427,174.11342105021015,1,32,27
106,0,historical-frozen,144,90.7567959449405,15.034751754806681,28.556341257440472,17.647724884259254,3435.0672410759007,0.0,1,142,27
106,0,published-frozen,144,90.7567959449405,15.034751754806681,86.95535104166667,63.97201986314922,6697.007160863674,6106.754512208749,1,133,27
106,0,published-adjustable,36,45.027590558862435,16.73460384581096,14.258948148148152,9.8511429881111,586.2059215416047,21.511320330318313,1,34,27
106,6,published-adjustable,36,123.42555562169322,16.934142588517265,123.46146203703704,91.10173249006526,3965.994244212334,3207.2220379204446,1,33,27
106,12,published-adjustable,36,130.74595553902117,14.73492082287357,118.54266574074076,61.51266774090344,680.6836960547847,68.22914452951102,1,36,27
106,18,published-adjustable,36,63.82808206018519,17.247338446831563,4.146114351851852,2.8722343781274247,463.36804056002427,16.4397856124001,1,36,27
107,0,historical-frozen,144,230.21574916087962,19.79212350446012,27.71281134672619,17.20616478174604,3435.0672410759007,623.1478068819338,1,136,27
107,0,published-frozen,144,230.21574916087962,19.79212350446012,64.16374282407406,50.93557794106776,6697.007160863674,5228.213491832334,1,136,27
107,0,published-adjustable,36,107.8944722883598,20.33494290363787,12.790477314814812,8.978220775636979,740.2327096301233,920.4238213244191,0,29,27
107,6,published-adjustable,36,305.00318020833333,18.910505490485228,108.53122916666662,80.93484846143731,3916.2396809640804,2778.7740052002005,1,36,27
107,12,published-adjustable,36,336.5875938657407,19.099746422525428,121.85271851851846,83.47497432149393,802.232679536653,596.1216904338695,1,36,27
107,18,published-adjustable,36,171.3777502810846,21.09947062632656,4.71604537037037,3.3408452391134413,463.36804056002427,0.0,1,35,27
108,0,historical-frozen,144,228.17363915757272,18.184603063424646,27.63259626736113,22.849996908068785,3435.0672410759007,1669.7209378990394,1,135,27
108,0,published-frozen,144,228.17363915757272,18.184603063424646,55.47457476851852,37.89001546359658,6697.007160863674,2604.5688769696153,1,134,27
108,0,published-adjustable,36,116.98737313161372,17.444217739920433,14.001043518518522,9.829172732383206,740.2327096301233,754.3124458276607,0,29,27
108,6,published-adjustable,36,300.9037921130951,17.13001907110257,98.53956481481477,79.29221866035027,3916.2396809640804,2899.1071026777895,1,36,27
108,12,published-adjustable,36,328.53071309523807,18.89525983987612,144.76578240740747,94.58858309932627,802.232679536653,7.775231966881847,1,36,27
