开始时间,日计划制定时间,计划负荷预测_kWh,计划光伏预测_kWh,实际负荷_kWh,实际光伏_kWh,实际净负荷_kWh,计划净负荷误差_kWh,执行时负荷预测_kWh,执行时光伏预测_kWh,执行时净负荷误差_kWh,段初SOC_kWh,段末SOC_kWh,实际存入_kWh,实际送达_kWh,弃光_kWh,弃购电_kWh,当段累计备用需求_送达kWh,窗口最大规划备用缺口_kWh,当段规划供电缺口_kWh,母线平衡残差_kWh,SOC递推残差_kWh
2025-02-01T08:00:00,2025-02-01T00:00:00,623.8372842395547,325.69107142857143,633.9416666666666,334.01874999999995,299.92291666666665,1.7767038556833654,592.2420416666668,325.69107142857143,33.371946428571334,4730.622084211859,4397.374399037785,0.0,299.92291665666664,0.0,0.0,13830.174679999995,10695.212107780757,0.0,-1.0000007932831068e-08,1.1368683772161603e-13
2025-02-01T08:10:00,2025-02-01T00:00:00,628.0410353579765,376.7973380952381,590.91065,388.6844166666666,202.22623333333343,-49.01746392940498,598.472015,376.7973380952381,-19.448443571428527,4397.374399037785,4151.06920248805,0.0,221.67467689476194,19.44844356142852,0.0,13606.221013333334,10725.325147770754,0.0,0.0,2.5579538487363607e-13
2025-02-01T08:20:00,2025-02-01T00:00:00,637.6512207305872,425.62871666666666,568.5581666666667,438.7655666666667,129.7926,-82.22990406392051,607.9904891666666,425.62871666666666,-52.56917249999998,4151.06920248805,3948.4450108324945,0.0,182.36177248999996,52.56917248999997,0.0,13381.287429999998,10664.144430260754,0.0,0.0,2.842170943040401e-14
2025-02-01T08:30:00,2025-02-01T00:00:00,641.9376552934236,474.6285714285714,574.2283333333332,487.94374999999997,86.28458333333327,-81.02450053151892,612.187725,474.6285714285714,-51.27457023809529,3948.4450108324945,3795.601506875352,0.0,137.55915356142862,51.27457022809534,0.0,13137.744939999999,10658.028119999997,0.0,0.0,1.7053025658242404e-13
2025-02-01T08:40:00,2025-02-01T00:00:00,640.5132562104246,528.6532833333332,577.8523166666666,541.8831666666666,35.96915000000001,-75.89082287709141,606.5509458333332,528.6532833333332,-41.92851250000001,3795.601506875352,3709.0485485531294,0.0,77.89766249000003,41.92851249000002,0.0,12841.258273333331,10658.028119999997,0.0,0.0,-1.1368683772161603e-13
2025-02-01T08:50:00,2025-02-01T00:00:00,664.4040479265459,579.2791857142857,649.0800333333333,586.6261,62.45393333333334,-22.670928878926816,626.9834175000001,579.2791857142857,14.749701547618997,3709.0485485531294,3639.655289304981,0.0,62.45393332333334,0.0,0.0,12620.65042222222,10658.028119999997,0.0,-1.0000007932831068e-08,-1.4210854715202004e-13
2025-02-01T09:00:00,2025-02-01T00:00:00,711.524772219417,623.63125,737.1266666666667,621.9499999999999,115.17666666666673,27.28314444724981,674.0220749999999,623.63125,64.7858416666669,3639.655289304981,3511.681215242018,0.0,115.17666665666674,0.0,0.0,12469.364391666664,10658.028119999997,0.0,-1.0000007932831068e-08,-1.1368683772161603e-13
2025-02-01T09:10:00,2025-02-01T00:00:00,742.6983899162531,667.8865642857144,711.2534166666666,665.4293,45.824116666666555,-28.987708963872137,705.1158741666667,667.8865642857144,8.59480678571424,3511.681215242018,2993.5141845790145,0.0,466.3503275967033,420.52621093003677,0.0,12373.531891666664,10658.028119999997,0.0,0.0,1.1368683772161603e-13
2025-02-01T09:20:00,2025-02-01T00:00:00,736.0554459427191,718.1157738095238,698.3616999999999,729.7221999999999,-31.360500000000002,-49.30017213319525,698.3952983333334,718.1157738095238,-11.64002452380953,2993.5141845790145,2993.5141845790145,0.0,0.0,31.360500000000002,0.0,12272.19088611111,10658.028119999997,0.0,0.0,0.0
2025-02-01T09:30:00,2025-02-01T00:00:00,717.87189437046,766.9741071428572,736.3866666666665,798.0874999999999,-61.70083333333332,-12.598620560936183,680.1362416666665,766.9741071428572,25.13703214285738,2993.5141845790145,2640.5481135913574,0.0,317.6694638888915,379.37029722222485,0.0,12129.239963888887,10658.028119999997,0.0,0.0,1.7053025658242404e-13
2025-02-01T09:40:00,2025-02-01T00:00:00,735.2410967966597,801.0880166666667,733.2125666666667,838.3206833333334,-105.10811666666666,-39.26119679665965,699.5543825,801.0880166666667,-3.574482499999931,2640.5481135913574,2511.870172722469,0.0,115.81014678199985,220.9182634486665,0.0,11954.521422222218,10658.028119999997,0.0,0.0,1.9895196601282805e-13
2025-02-01T09:50:00,2025-02-01T00:00:00,746.9110390556655,835.4472404761905,697.1223666666666,867.3196166666667,-170.19725000000005,-81.66104857947505,716.2787916666667,835.4472404761905,-51.028801190476315,2511.870172722469,2619.12177664104,107.25160391857136,0.0,51.02880120158743,0.0,11786.723263888887,10658.028119999997,0.0,4.263256414560601e-14,-1.9895196601282805e-13
2025-02-01T10:00:00,2025-02-01T00:00:00,731.3761404293848,876.7151785714285,678.5883333333334,894.01875,-215.4304166666666,-70.09137852462288,700.674425,876.7151785714285,-39.38966309523812,2619.12177664104,2619.12177664104,0.0,0.0,215.4304166666666,0.0,11630.36854444444,10658.028119999997,0.0,0.0,0.0
2025-02-01T10:10:00,2025-02-01T00:00:00,711.9875320231472,917.4975857142857,711.4322,911.8498333333333,-200.41763333333336,5.092420357805167,681.2182516666666,917.4975857142857,35.8617007142858,2619.12177664104,2784.7771767602017,165.65540011916153,0.0,16.356077645376104,0.0,11472.354377777776,10658.028119999997,0.0,0.0,1.1368683772161603e-13
