window,date,plan_kwh,add_kwh,emergency_kwh,total_kwh,plan_cost_yuan,add_cost_yuan,emergency_cost_yuan,reduce_cost_yuan,total_cost_yuan,soc_start_kwh,soc_end_kwh
natural_day,2025-02-24,73746.144722,2792.903213,268.724620,76807.772555,45768.711602,2672.513841,1304.724328,169.067127,49915.016898,,
natural_day,2025-02-25,73115.822587,470.066677,1316.936281,74902.825545,44818.227559,428.107877,6612.889011,1118.595607,52977.820055,,
natural_day,2025-02-26,71416.206717,4563.405314,1139.674929,77119.286960,43816.409017,4337.699784,5746.022649,18.571666,53918.703117,,
natural_day,2025-02-27,68351.187859,2792.065255,2159.108952,73302.362066,42489.817408,2877.074590,10741.436187,122.870996,56231.199181,,
natural_day,2025-02-28,34977.354961,684.338021,0.000000,35661.692983,18230.865680,691.201579,0.000000,106.351514,19028.418773,,
result_row,2025-02-01,44507.442500,1980.099337,0.000000,46487.541837,24356.963171,2440.487183,0.000000,871.838280,27669.288633,,
result_row,2025-02-02,83260.766418,2868.526022,408.545634,86537.838074,53270.154437,3613.293797,1697.846086,1791.048714,60372.343034,,
result_row,2025-02-03,85005.100298,1590.310327,1490.162229,88085.572855,54039.881728,1992.003129,7114.879453,1496.930445,64643.694754,,
result_row,2025-02-04,86407.316977,230.990699,1529.374425,88167.682101,54439.582109,385.784010,7447.751870,1580.512817,63853.630806,,
result_row,2025-02-05,85705.652601,1063.993184,1548.633275,88318.279060,53805.303965,1314.016415,7543.138115,270.553389,62933.011883,,
result_row,2025-02-06,86408.702508,255.548099,1451.292838,88115.543445,54199.950833,497.143185,7027.576997,1933.675418,63658.346433,,
result_row,2025-02-07,40300.783935,0.000000,0.000000,40300.783935,21143.423850,0.000000,0.000000,364.308800,21507.732651,,
result_row,2025-02-08,40490.059830,381.811069,0.000000,40871.870900,21181.831033,584.276092,0.000000,71.070439,21837.177564,,
result_row,2025-02-09,84274.734441,2254.541443,941.802963,87471.078847,52933.291954,2568.878368,4527.737390,508.069083,60537.976795,,
result_row,2025-02-10,79572.370832,1932.258210,865.989536,82370.618578,49374.003374,2122.583672,4142.632171,2008.003550,57647.222768,,
result_row,2025-02-11,81669.148684,565.967067,1816.865739,84051.981490,50649.562365,565.641723,8823.747117,1110.969818,61149.921022,,
result_row,2025-02-12,80773.595901,608.844194,1805.267228,83187.707323,49949.462260,759.122124,8758.115931,1569.737007,61036.437323,,
result_row,2025-02-13,77404.857229,1816.216901,1087.716651,80308.790782,47803.417194,1827.049029,5343.163155,1109.224134,56082.853512,,
result_row,2025-02-14,38908.490325,1129.852206,0.000000,40038.342531,20385.448842,1087.568085,0.000000,48.185108,21521.202034,,
result_row,2025-02-15,38636.513600,1087.304154,0.000000,39723.817753,20265.635285,816.278979,0.000000,144.917519,21226.831783,,
result_row,2025-02-16,78712.145116,651.931403,2655.795084,82019.871603,48399.713352,983.267774,12827.799484,1935.310937,64146.091547,,
result_row,2025-02-17,77254.191837,366.128008,1194.152848,78814.472693,47364.022778,410.246929,5848.416996,2167.319977,55790.006680,,
result_row,2025-02-18,75761.218771,3799.763408,315.802271,79876.784450,46848.406142,3865.800895,1491.097582,19.894543,52225.199162,,
result_row,2025-02-19,74860.068590,3787.201769,1624.465431,80271.735791,46516.791531,3922.616618,7880.800345,148.935563,58469.144057,,
result_row,2025-02-20,75818.608366,1593.833602,1992.148301,79404.590269,46502.389628,1745.701375,9719.813642,983.960205,58951.864850,,
result_row,2025-02-21,36421.977329,356.076851,0.000000,36778.054180,19063.380279,587.021896,0.000000,16.322968,19666.725143,,
result_row,2025-02-22,37740.283730,379.022098,0.000000,38119.305827,19742.345198,478.491898,0.000000,95.253454,20316.090550,,
result_row,2025-02-23,75389.275688,1501.752432,1903.614766,78794.642886,46413.067818,1716.040377,9298.836040,248.326583,57676.270818,,
result_row,2025-02-24,73745.314063,2792.903213,268.724620,76806.941896,45768.356413,2672.513841,1304.724328,169.067127,49914.661709,,
result_row,2025-02-25,73112.573687,470.066677,1316.936281,74899.576645,44816.838330,428.107877,6612.889011,1118.595607,52976.430825,,
result_row,2025-02-26,71395.615301,4563.405314,1139.674929,77098.695544,43807.604127,4337.699784,5746.022649,18.571666,53909.898227,,
result_row,2025-02-27,68210.629926,2792.065255,2159.108952,73161.804133,42429.714836,2877.074590,10741.436187,122.870996,56171.096609,,
result_row,2025-02-28,34997.189011,684.338021,0.000000,35681.527033,18239.346720,691.201579,0.000000,106.351514,19036.899813,,
